Symbol,Description,Price,Price - Currency,Volume 1 day,Relative volume 1 day,Price,Price - Currency,Price to earnings ratio,Sector,Industry,Average volume 30 days,Market capitalization,Market capitalization - Currency,Free float %,Total common shares outstanding,Price to sales ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY",Average daily range %,"Earnings per share reported, Quarterly","Earnings per share reported, Quarterly - Currency","Earnings per share estimate, Quarterly","Earnings per share estimate, Quarterly - Currency",CUSIP
ANVS,"Annovis Bio, Inc.",2.28,USD,738388,0.6652137551935758,2.28,USD,,Health technology,Pharmaceuticals: major,1243328.6666666667,78733858.88495576,USD,83.04090000000001,34532400,,-1.4021,USD,29.761546939184452,6.741854636591517,-0.39,USD,-0.395,USD,03615A108
AON,Aon plc,312.79,USD,1179006,0.7959942586083741,312.79,USD,17.163065307331852,Finance,Insurance brokers/Services,1338193.7333333334,66804733432.93757,USD,98.83529999999999,213577000,3.8435920109252315,18.2246,USD,55.29197235784827,2.4865496248054306,6.48,USD,3.821229,USD,
APA,APA Corporation,35.56,USD,9080177,1.2687479176277279,35.56,USD,8.291363551576199,Energy minerals,Integrated oil,8290184.033333333,12566919557.499998,USD,99.4828,353400000,1.4898339333410784,4.2888,USD,55.15519861080963,3.651253414751449,1.38,USD,1.923385,USD,03743Q108
APH,Amphenol Corporation,128.03,USD,18068928,2.03653060632883,128.03,USD,36.79022988505747,Electronic technology,Electronic components,8153100.199999926,157506917030.84094,USD,99.471,1230230000,6.802045028142594,3.48,USD,68.63733281643728,4.465242521284114,1.06,USD,1.153061,USD,032095101
APLD,Applied Digital Corporation,41.25,USD,19623123,0.7885360270441368,41.25,USD,,Technology services,Data processing services,25388724.666666683,11787992817.601732,USD,90.3143,285769530,32.945760858871004,-0.7392,USD,46.25954198473283,7.022961038961033,-0.36,USD,-0.2225,USD,038169207
APO,"Apollo Global Management, Inc. (New)",133.2,USD,4767276,1.2971856619080095,133.2,USD,87.5912408759124,Finance,Investment managers,4286041.066666666,76792337073.81482,USD,72.86689999999999,576519000,2.3985982597280078,1.5207,USD,-73.13820391436445,3.3189296439296765,1.94,USD,2.193451,USD,03769M106
APP,Applovin Corporation,468.55,USD,7745578,1.7080513118101115,468.55,USD,41.33219244544027,Technology services,Packaged software,4486644.833333333,157555280127.12228,USD,85.87469999999999,306053000,27.4134446542223,11.3362,USD,104.69844709281328,5.582355900422283,3.56,USD,3.733888,USD,03831W108
APPS,"Digital Turbine, Inc.",4.04,USD,1494823,0.9137092295314984,4.04,USD,,Technology services,Packaged software,2023768.1666666667,484395729.65413535,USD,88.4921,119900000,0.8871232103112653,-0.4645,USD,84.66743687077076,4.826555869872758,0.18,USD,0.085,USD,25400W102
APTV,Aptiv PLC,57.94,USD,4476677,1.2302374219002568,57.94,USD,34.25362104640851,Producer manufacturing,Electrical products,3198377.3493573847,12261293591.087374,USD,98.6412,211621000,0.5910314148797137,1.6915,USD,-71.97601020560315,3.2792420730806833,1.71,USD,1.500316,USD,
AR,Antero Resources Corporation,35.94,USD,3014210,0.6386203338014316,35.94,USD,11.645766501409545,Energy minerals,Oil & gas production,5322666.866666666,11135505460.540007,USD,93.01700000000001,309836000,1.9659268540696329,3.0861,USD,326.1391880695941,3.229588997535494,1.146459,USD,0.905753,USD,03674X106
ARCC,Ares Capital Corporation,19.01,USD,4762912,0.7728064834258828,19.01,USD,11.686954383376369,Finance,Investment managers,6567149.166666667,13649614445.676687,USD,99.4245,718023000,4.068523610280933,1.6266,USD,-20.451877934272296,2.016232058314956,0.47,USD,0.471898,USD,04010L103
ARDX,"Ardelyx, Inc.",6.78,USD,5858397,1.1076488977324213,6.78,USD,,Health technology,Pharmaceuticals: major,3928757.3666666667,1674859258.1776505,USD,95.63020000000002,247029000,4.012515162914234,-0.2382,USD,-4.93392070484581,5.541508638853793,-0.15,USD,-0.034692,USD,039697107
AREC,American Resources Corporation,2.24,USD,1481988,0.6414534465936339,2.24,USD,,Energy minerals,Coal,2617014.1666666665,227120996.9339207,USD,79.4177,101393000,2013.9175554854057,-0.4644,USD,-8.606173994387278,7.189732142857258,-0.095,USD,-0.07225,USD,02927U208
ARLO,"Arlo Technologies, Inc.",15.25,USD,4022264,3.3057972415253207,15.25,USD,54.75763016157989,Electronic technology,Telecommunications equipment,1187798.4666666666,1661624934.2281878,USD,96.9696,108959000,2.9365555204749065,0.2785,USD,,4.124121779859536,0.28,USD,0.1975,USD,04206A101
ARM,Arm Holdings plc,213.27,USD,11464445,0.8816844539831452,213.27,USD,251.97306238185254,Electronic technology,Semiconductors,9615027.433333334,226961837402,USD,99.571,1064000000,46.30387804878047,0.8464,USD,13.595490538182803,6.788430493874243,0.6,USD,0.400226,USD,042068205
AROC,"Archrock, Inc.",36.96,USD,2005673,1.1785854539430847,36.96,USD,20.07277467007006,Industrial services,Oilfield services/Equipment,1548433.8,6477668353.788977,USD,97.20150000000001,175262000,4.384200176468028,1.8413,USD,55.936653116531154,3.629889455782293,0.41,USD,0.473948,USD,03957W106
